Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-50.1,0.0,1,0.999
2,Success,-50.2,0.0,2,0.998001
3,Success,-51.0,0.0,10,0.997002999
4,Success,-47.5,0.0,5,0.996005996001
5,Success,-31.400000000000006,0.0,4,0.995009990004999
6,Success,-35.900000000000006,0.0,9,0.994014980014994
7,Success,-35.800000000000004,0.0,8,0.993020965034979
8,Success,-38.900000000000006,0.0,19,0.9920279440699441
9,Success,-50.1,0.0,1,0.9910359161258742
10,Success,-50.5,0.0,5,0.9900448802097482
11,Success,-47.3,0.0,13,0.9890548353295385
12,Success,-45.4,0.0,4,0.988065780494209
13,Success,-50.1,0.0,1,0.9870777147137147
14,Success,-11.700000000000003,0.0,7,0.986090636999001
15,Success,-11.300000000000004,0.0,3,0.9851045463620021
16,Success,-50.5,0.0,5,0.98411944181564
17,Success,-13.400000000000013,0.0,24,0.9831353223738244
18,Success,-39.800000000000004,0.0,8,0.9821521870514506
19,Success,-48.199999999999996,0.0,12,0.9811700348643991
20,Success,-50.4,0.0,4,0.9801888648295347
21,Success,-46.9,0.0,9,0.9792086759647052
22,Success,-50.5,0.0,5,0.9782294672887405
23,Success,-52.6,0.0,26,0.9772512378214517
24,Success,-55.2,0.0,32,0.9762739865836303
25,Success,2.450904797410203,0.0,20,0.9752977125970467
26,Success,-52.5,0.0,5,0.9743224148844496
27,Success,-50.7,0.0,7,0.9733480924695651
28,Success,-50.1,0.0,1,0.9723747443770956
29,Success,-50.1,0.0,1,0.9714023696327185
30,Success,-45.000000000000014,0.0,20,0.9704309672630859
31,Success,-34.30000000000002,0.0,23,0.9694605362958227
32,Success,-6.900000000000013,0.0,9,0.9684910757595269
33,Success,-46.800000000000004,0.0,8,0.9675225846837673
34,Success,-50.300000000000004,0.0,3,0.9665550620990835
35,Success,2.547128235501674,0.0,24,0.9655885070369844
36,Success,-50.1,0.0,1,0.9646229185299474
37,Success,-50.2,0.0,2,0.9636582956114175
38,Success,-50.1,0.0,1,0.9626946373158061
39,Success,-14.100000000000016,0.0,11,0.9617319426784903
40,Success,-51.1,0.0,11,0.9607702107358118
41,Success,-50.2,0.0,2,0.959809440525076
42,Success,-50.300000000000004,0.0,3,0.9588496310845509
43,Success,-51.0,0.0,10,0.9578907814534664
44,Success,-50.800000000000004,0.0,8,0.9569328906720129
45,Success,-50.4,0.0,4,0.9559759577813409
46,Success,-52.900000000000006,0.0,9,0.9550199818235596
47,Success,-47.7,0.0,17,0.9540649618417361
48,Success,-52.300000000000004,0.0,23,0.9531108968798944
49,Success,-50.1,0.0,1,0.9521577859830145
50,Success,-12.400000000000006,0.0,14,0.9512056281970315
51,Success,-52.5,0.0,25,0.9502544225688344
52,Success,-50.7,0.0,7,0.9493041681462656
