Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-1468.4223111949761,0.0,490,0.999
2,Success,-558.6965693840555,0.0,221,0.998001
3,Success,17.318298090170003,0.0,58,0.997002999
4,Success,-625.3432279853392,0.0,270,0.996005996001
5,Success,-525.7427704000118,0.0,168,0.995009990004999
6,Success,-96.27590174306283,0.0,84,0.994014980014994
7,Success,-669.9461248979053,0.0,215,0.993020965034979
8,Success,-672.2565331052778,0.0,265,0.9920279440699441
9,Success,-701.649127925242,0.0,215,0.9910359161258742
10,Success,-1646.1370033327776,0.0,518,0.9900448802097482
11,Success,-138.63802383015332,0.0,108,0.9890548353295385
12,Success,-2700.780009350586,0.0,707,0.988065780494209
13,Success,-895.8410451638318,0.0,241,0.9870777147137147
14,Success,-1513.5417526734864,0.0,475,0.986090636999001
15,Success,-1267.5691753685894,0.0,349,0.9851045463620021
16,Success,-190.96539877016752,0.0,143,0.98411944181564
17,Success,-611.0836503663994,0.0,272,0.9831353223738244
18,Success,-2593.9795083400495,0.0,829,0.9821521870514506
19,Success,-729.2918484657162,0.0,231,0.9811700348643991
20,Success,-115.21688154939281,0.0,102,0.9801888648295347
21,Success,-881.3481282843521,0.0,338,0.9792086759647052
22,Success,-781.5746008514346,0.0,284,0.9782294672887405
23,Success,-1444.5934506285016,0.0,391,0.9772512378214517
24,Success,-1681.4466096465985,0.0,661,0.9762739865836303
25,Success,-51.5385749542601,0.0,79,0.9752977125970467
26,Success,-761.3851750131593,0.0,223,0.9743224148844496
27,Success,-2719.2839439303293,0.0,682,0.9733480924695651
28,Success,-62.37160188343228,0.0,86,0.9723747443770956
29,Success,-310.57680972001276,0.0,165,0.9714023696327185
30,Success,-21.11437567062596,0.0,91,0.9704309672630859
31,Success,-517.7632984321676,0.0,193,0.9694605362958227
32,Success,-747.312773855065,0.0,256,0.9684910757595269
33,Success,-1348.9382228571585,0.0,391,0.9675225846837673
34,Success,80.05335116179401,0.0,57,0.9665550620990835
35,Success,-212.56671191935354,0.0,144,0.9655885070369844
36,Success,115.16783772973541,0.0,38,0.9646229185299474
37,Success,-746.8658628734407,0.0,293,0.9636582956114175
38,Success,-307.6150169654918,0.0,183,0.9626946373158061
39,Success,-199.99107352619544,0.0,131,0.9617319426784903
40,Success,-215.10884395662103,0.0,110,0.9607702107358118
41,Success,81.77485923006353,0.0,59,0.959809440525076
42,Success,-464.33216875452524,0.0,146,0.9588496310845509
43,Success,108.1042256485205,0.0,49,0.9578907814534664
44,Success,-158.3999999999996,0.0,129,0.9569328906720129
45,Success,-1106.6049384213627,0.0,408,0.9559759577813409
46,Success,-728.7258594961878,0.0,301,0.9550199818235596
47,Success,-1218.6876050419137,0.0,391,0.9540649618417361
48,Success,-205.11565208875837,0.0,130,0.9531108968798944
49,Success,-1512.5935716195204,0.0,530,0.9521577859830145
50,Success,-199.3622153804711,0.0,206,0.9512056281970315
51,Success,-470.2591434640218,0.0,212,0.9502544225688344
52,Success,-2112.191586246383,0.0,586,0.9493041681462656
53,Success,-451.36463776710536,0.0,259,0.9483548639781193
54,Success,-832.1879841593177,0.0,276,0.9474065091141411
55,Success,-327.37474498381914,0.0,115,0.946459102605027
56,Success,-337.1767365018932,0.0,150,0.9455126435024219
57,Success,-1507.969113755111,0.0,462,0.9445671308589195
58,Success,-949.5248110385365,0.0,332,0.9436225637280606
59,Success,-230.91880116526883,0.0,138,0.9426789411643326
60,Success,-426.7958495183311,0.0,246,0.9417362622231683
61,Success,-1729.6492243339687,0.0,484,0.9407945259609451
62,Success,-707.4085959483494,0.0,252,0.9398537314349842
63,Success,-887.8281783533142,0.0,330,0.9389138777035492
64,Success,-243.73549110327403,0.0,110,0.9379749638258457
65,Success,-190.84272163570657,0.0,193,0.9370369888620198
66,Success,-826.4000000000042,0.0,289,0.9360999518731578
67,Success,-346.87235280010043,0.0,128,0.9351638519212846
68,Success,-1269.2318530620564,0.0,384,0.9342286880693633
69,Success,-848.4651661424562,0.0,304,0.933294459381294
70,Success,-667.6591213990025,0.0,190,0.9323611649219127
71,Success,-1703.552695526145,0.0,356,0.9314288037569908
72,Success,-1526.7862394393942,0.0,447,0.9304973749532338
73,Success,-286.5556132222313,0.0,178,0.9295668775782806
74,Success,-541.2638080641686,0.0,175,0.9286373107007023
75,Success,-39.73224755112284,0.0,72,0.9277086733900016
76,Success,-177.2300539613195,0.0,108,0.9267809647166116
77,Success,-436.0601298384904,0.0,183,0.925854183751895
78,Success,-521.9765657792665,0.0,213,0.9249283295681431
79,Success,-934.1987285654549,0.0,385,0.9240034012385749
80,Success,-645.9329554736872,0.0,234,0.9230793978373364
81,Success,-1995.2346052378748,0.0,511,0.9221563184394991
