Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-50.2,0.0,2,0.999
2,Success,-16.20000000000001,0.0,12,0.998001
3,Success,-17.600000000000037,0.0,26,0.997002999
4,Success,-50.1,0.0,1,0.996005996001
5,Success,-50.2,0.0,2,0.995009990004999
6,Success,-50.4,0.0,4,0.994014980014994
7,Success,-63.1,0.0,11,0.993020965034979
8,Success,-19.70000000000006,0.0,47,0.9920279440699441
9,Success,-32.7,0.0,7,0.9910359161258742
10,Success,-50.2,0.0,2,0.9900448802097482
11,Success,-46.9,0.0,9,0.9890548353295385
12,Success,-15.500000000000007,0.0,5,0.988065780494209
13,Success,-46.9,0.0,9,0.9870777147137147
14,Success,-50.300000000000004,0.0,3,0.986090636999001
15,Success,-45.5,0.0,5,0.9851045463620021
16,Success,-14.300000000000047,0.0,43,0.98411944181564
17,Success,-22.800000000000026,0.0,18,0.9831353223738244
18,Success,-50.300000000000004,0.0,3,0.9821521870514506
19,Success,-12.600000000000001,0.0,6,0.9811700348643991
20,Success,-50.2,0.0,2,0.9801888648295347
21,Success,-33.900000000000006,0.0,9,0.9792086759647052
22,Success,-15.70000000000001,0.0,7,0.9782294672887405
1,Success,-51.300000000000004,0.0,13,0.999
2,Success,-50.5,0.0,5,0.998001
3,Success,-32.300000000000004,0.0,3,0.997002999
4,Success,-38.5,0.0,15,0.996005996001
5,Success,-50.300000000000004,0.0,3,0.995009990004999
6,Success,-45.5,0.0,5,0.994014980014994
7,Success,-52.300000000000004,0.0,33,0.993020965034979
8,Success,-42.400000000000006,0.0,14,0.9920279440699441
9,Success,-55.0,0.0,10,0.9910359161258742
10,Success,-50.5,0.0,15,0.9900448802097482
11,Success,-50.9,0.0,9,0.9890548353295385
12,Success,-50.1,0.0,1,0.988065780494209
13,Success,-12.700000000000003,0.0,7,0.9870777147137147
14,Success,-51.2,0.0,12,0.986090636999001
15,Success,-50.5,0.0,15,0.9851045463620021
16,Success,-29.20000000000003,0.0,42,0.98411944181564
17,Success,-68.2,0.0,22,0.9831353223738244
18,Success,-38.5,0.0,5,0.9821521870514506
19,Success,-36.2,0.0,32,0.9811700348643991
20,Success,-4.800000000000004,0.0,18,0.9801888648295347
21,Success,-50.4,0.0,4,0.9792086759647052
22,Success,-50.1,0.0,1,0.9782294672887405
23,Success,-50.4,0.0,4,0.9772512378214517
24,Success,5.299999999999983,0.0,27,0.9762739865836303
25,Success,4.899999999999984,0.0,21,0.9752977125970467
26,Success,-31.500000000000014,0.0,15,0.9743224148844496
27,Success,-31.100000000000005,0.0,31,0.9733480924695651
28,Success,-50.1,0.0,1,0.9723747443770956
29,Success,-50.300000000000004,0.0,3,0.9714023696327185
30,Success,-54.8,0.0,8,0.9704309672630859
31,Success,-16.000000000000007,0.0,10,0.9694605362958227
32,Success,-50.300000000000004,0.0,3,0.9684910757595269
33,Success,-33.20000000000001,0.0,22,0.9675225846837673
34,Success,-50.300000000000004,0.0,3,0.9665550620990835
35,Success,-51.0,0.0,10,0.9655885070369844
36,Success,-12.900000000000013,0.0,9,0.9646229185299474
37,Success,-63.400000000000006,0.0,44,0.9636582956114175
38,Success,-32.20000000000001,0.0,12,0.9626946373158061
39,Success,-50.300000000000004,0.0,3,0.9617319426784903
40,Success,-50.5,0.0,5,0.9607702107358118
41,Success,-6.000000000000071,0.0,50,0.959809440525076
42,Success,-50.300000000000004,0.0,3,0.9588496310845509
43,Success,-19.800000000000026,0.0,18,0.9578907814534664
44,Success,-47.099999999999994,0.0,31,0.9569328906720129
45,Success,-32.400000000000006,0.0,4,0.9559759577813409
46,Success,-51.300000000000004,0.0,33,0.9550199818235596
47,Success,-50.5,0.0,5,0.9540649618417361
48,Success,-44.8,0.0,28,0.9531108968798944
49,Success,-50.2,0.0,2,0.9521577859830145
50,Success,-6.10000000000003,0.0,41,0.9512056281970315
51,Success,-50.5,0.0,5,0.9502544225688344
52,Success,-50.300000000000004,0.0,3,0.9493041681462656
53,Success,-50.2,0.0,2,0.9483548639781193
54,Success,-34.300000000000004,0.0,13,0.9474065091141411
55,Success,-37.300000000000004,0.0,23,0.946459102605027
56,Success,-8.10000000000003,0.0,21,0.9455126435024219
57,Success,-48.2,0.0,12,0.9445671308589195
58,Success,-50.2,0.0,2,0.9436225637280606
59,Success,-45.8,0.0,8,0.9426789411643326
60,Success,-50.1,0.0,1,0.9417362622231683
61,Success,-50.1,0.0,1,0.9407945259609451
62,Success,-50.2,0.0,2,0.9398537314349842
63,Success,0.7999999999999687,0.0,22,0.9389138777035492
64,Success,-62.2,0.0,52,0.9379749638258457
65,Success,-51.0,0.0,10,0.9370369888620198
66,Success,-50.2,0.0,2,0.9360999518731578
67,Success,-12.300000000000004,0.0,3,0.9351638519212846
68,Success,-52.5,0.0,35,0.9342286880693633
69,Success,-50.5,0.0,5,0.933294459381294
70,Success,-33.30000000000001,0.0,13,0.9323611649219127
71,Success,-13.40000000000002,0.0,14,0.9314288037569908
72,Success,-33.80000000000003,0.0,38,0.9304973749532338
73,Success,-3.500000000000014,0.0,35,0.9295668775782806
74,Success,-50.1,0.0,1,0.9286373107007023
75,Success,-30.000000000000007,0.0,30,0.9277086733900016
76,Success,-12.500000000000007,0.0,5,0.9267809647166116
1,Success,-51.2,0.0,12,0.999
2,Success,-50.300000000000004,0.0,3,0.998001
3,Success,5.19999999999996,0.0,28,0.997002999
4,Success,-50.800000000000004,0.0,8,0.996005996001
5,Success,-26.100000000000016,0.0,11,0.995009990004999
6,Success,-31.900000000000013,0.0,9,0.994014980014994
7,Success,-50.1,0.0,1,0.993020965034979
8,Success,9.29999999999999,0.0,7,0.9920279440699441
9,Success,-2.200000000000074,0.0,62,0.9910359161258742
10,Success,-43.8,0.0,28,0.9900448802097482
11,Success,-29.30000000000002,0.0,13,0.9890548353295385
12,Success,-50.1,0.0,1,0.988065780494209
13,Success,-27.200000000000006,0.0,12,0.9870777147137147
14,Success,-50.1,0.0,1,0.986090636999001
