Episode,Result,Total Reward
1,Success,-450
2,Success,-785
3,Success,-745
4,Success,-160
5,Success,-590
6,Success,-1990
7,Success,-395
8,Success,-30
9,Success,-505
10,Success,-440
11,Success,105
12,Success,-1060
13,Success,-180
14,Success,-455
15,Success,-490
16,Success,-495
17,Success,-35
18,Success,-70
19,Success,-125
20,Success,-75
21,Success,155
22,Success,5
23,Success,-155
24,Success,-185
25,Success,-540
26,Success,-205
27,Success,-30
28,Success,135
29,Success,-530
30,Success,115
31,Success,-605
32,Success,-30
33,Success,-40
34,Success,-350
35,Success,-165
36,Success,120
37,Success,200
38,Success,-65
39,Success,-70
40,Success,160
41,Success,-260
42,Success,-330
43,Success,470
44,Success,210
45,Success,40
46,Success,-225
47,Success,-370
48,Success,445
49,Success,640
50,Success,250
51,Success,-285
52,Success,225
53,Success,365
54,Success,540
55,Success,195
56,Success,445
57,Success,660
58,Success,360
59,Success,205
60,Success,305
61,Success,505
62,Success,1100
63,Success,395
64,Success,520
65,Success,520
66,Success,305
67,Success,760
68,Success,835
69,Success,315
70,Success,305
71,Success,955
72,Success,1225
73,Success,135
74,Success,455
75,Success,1125
76,Success,1455
77,Success,2710
78,Success,1975
79,Success,2880
80,Success,2290
81,Success,795
82,Success,1320
83,Success,2235
84,Success,1045
85,Success,3545
86,Success,1315
87,Success,1405
88,Success,800
89,Success,3385
90,Success,1550
91,Success,3390
92,Success,2080
93,Success,1450
94,Success,440
95,Success,970
96,Success,710
97,Success,500
98,Success,1130
99,Success,3980
100,Success,3255
101,Success,2160
102,Success,7770
103,Success,1885
104,Success,3725
105,Success,3140
106,Success,4570
107,Success,15000
108,Success,1605
109,Success,13540
110,Success,7565
111,Success,4360
112,Success,5840
113,Success,5280
114,Success,9680
115,Success,3205
116,Success,11450
117,Success,3470
118,Success,8285
119,Success,9895
120,Success,2085
121,Success,18725
122,Success,11780
123,Success,6840
124,Success,26315
125,Success,33045
126,Success,10295
127,Success,7155
128,Success,5870
129,Success,55025
130,Success,13025
131,Success,22410
132,Success,15115
133,Success,15805
134,Success,18130
135,Success,26380
136,Success,63910
137,Success,30450
138,Success,184385
139,Success,137065
140,Success,1779125
141,Success,212540
142,Success,665915
143,Success,254065
144,Success,653060
145,Success,20290
146,Success,275425
147,Success,2560
148,Success,1353140
149,Success,4867955
150,Success,107675
151,Success,1868055
152,Success,447970
153,Success,1594770
154,Success,1515645
155,Success,1661435
156,Success,358300
157,Success,654845
158,Success,3029200
159,Success,1099160
160,Success,4457420
161,Success,12672605
162,Success,1406530
163,Success,92205
164,Success,499480
165,Success,14914085
166,Success,9765410
167,Success,4822145
168,Success,7221550
169,Success,3740875
170,Success,23916875
171,Success,11109020
172,Success,4713130
173,Success,14768230
174,Success,2984600
175,Success,5629345
176,Success,4236505
177,Success,16348915
178,Success,10467170
179,Success,2215865
180,Success,7245900
181,Success,1467460
182,Success,10862720
183,Success,14408405
184,Success,3417920
185,Success,7306525
186,Success,32766080
187,Success,20846075
188,Success,72943595
189,Success,3743140
190,Success,8606150
191,Success,21755085
192,Success,36568015
193,Success,323735
194,Success,410380
195,Success,10929970
196,Success,17956605
197,Success,1348940
198,Success,223057980
199,Success,30270590
200,Success,38234785
201,Success,28749820
202,Success,115319610
203,Success,10596220
204,Success,18371160
205,Success,40140920
206,Success,706500
207,Success,47466105
208,Success,96111745
209,Success,100534895
210,Success,38767210
211,Success,19540235
212,Success,111538085
213,Success,254833215
214,Success,16689405
215,Success,96682025
216,Success,102310460
217,Success,20452800
218,Success,248710365
219,Success,12289080
220,Success,117200785
221,Success,321146075
222,Success,368703760
223,Success,306510
224,Success,50267335
225,Success,16414040
226,Success,1177050
227,Success,230401280
228,Success,69242975
229,Success,52002870
230,Success,42129465
1,Success,-1470
2,Success,-685
3,Success,-130
4,Success,-900
5,Success,-925
6,Success,-185
7,Success,85
8,Success,-895
9,Success,35
10,Success,-410
11,Success,-745
12,Success,-510
13,Success,-1450
14,Success,-155
15,Success,-385
16,Success,40
17,Success,-1020
18,Success,-110
19,Success,-225
20,Success,205
21,Success,-285
22,Success,-670
23,Success,15
24,Success,315
25,Success,-110
26,Success,-765
