Episode,Result,Total Reward
27,Success,-445
28,Success,180
29,Success,445
30,Success,95
31,Success,-230
32,Success,305
33,Success,-275
34,Success,-300
35,Success,-30
36,Success,335
37,Success,945
38,Success,0
39,Success,490
40,Success,1990
41,Success,1040
42,Success,1155
43,Success,2365
44,Success,2210
45,Success,1440
46,Success,5290
47,Success,2215
48,Success,695
49,Success,4365
50,Success,2730
51,Success,8855
52,Success,5580
53,Success,3970
54,Success,5410
55,Success,3505
56,Success,7960
57,Success,2945
58,Success,2395
59,Success,505
60,Success,14045
61,Success,6545
62,Success,66735
63,Success,9560
64,Success,35015
65,Success,15280
66,Success,38610
67,Success,1605
68,Success,34190
69,Success,12095
70,Success,49745
71,Success,51360
72,Success,29835
73,Success,70770
74,Success,40440
75,Success,68745
76,Success,76100
77,Success,112720
78,Success,14485
79,Success,56200
80,Success,152415
81,Success,51650
82,Success,131585
83,Success,171095
84,Success,74355
85,Success,65655
86,Success,296635
87,Success,77240
88,Success,46600
89,Success,242175
90,Success,57745
91,Success,21940
92,Success,147545
93,Success,345425
94,Success,146130
95,Success,1213615
96,Success,598385
97,Success,169325
98,Success,505620
99,Success,379820
100,Success,515815
101,Success,397705
102,Success,1247145
103,Success,255625
104,Success,65550
105,Success,973915
106,Success,2101180
107,Success,168470
108,Success,90745
109,Success,1431095
110,Success,72115
111,Success,2262840
112,Success,1934105
113,Success,1130730
114,Success,1343785
115,Success,444260
116,Success,2568380
117,Success,4466440
118,Success,3834720
