Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-4483.595483522784,0.24957192886386576,1669,1.0
2,Success,-3110.9198021837383,-0.019500000000000003,854,0.999
3,Success,-1229.3017166165039,0.051270402876276155,563,0.999
4,Success,-2796.5418444345783,0.018222008161611788,911,0.998001
5,Success,-2577.6099853431465,1.6552452817372705,848,0.998001
6,Success,-1285.0379814878609,-0.11728958646122822,630,0.997002999
7,Success,-1310.3853488268123,1.858049432418193,497,0.997002999
8,Success,-2244.4493212306656,1.4388311170374648,775,0.996005996001
9,Success,-1221.7266761380747,2.6172558622078084,454,0.996005996001
10,Success,-2949.9997557463053,2.687431851117199,780,0.995009990004999
11,Success,-2934.745602337761,3.589977096871641,1057,0.995009990004999
12,Success,-5144.265824357226,-0.060835260528851395,1132,0.994014980014994
13,Success,-942.3686824447036,-0.060835260528851395,480,0.994014980014994
14,Success,-3091.7413074251444,3.823782325440886,983,0.993020965034979
15,Success,-1143.4046322612337,0.3215177465942469,477,0.993020965034979
16,Success,-2134.9110268001264,0.76815482378881,780,0.9920279440699441
17,Success,-1025.6509940438284,0.045121198180314,397,0.9920279440699441
18,Success,-1042.69463064545,4.443726397552201,453,0.9910359161258742
19,Success,-470.32635439250623,6.848569678327069,374,0.9910359161258742
20,Success,-1851.3093200201688,6.848569678327069,633,0.9900448802097482
21,Success,-817.8934412817051,1.1446231670524238,429,0.9900448802097482
22,Success,-1590.0432723392464,8.495389726674121,634,0.9890548353295385
23,Success,-170.65533729009084,8.495389726674121,150,0.9890548353295385
24,Success,-1358.2474364368045,6.848569678327069,526,0.988065780494209
25,Success,-2406.728903783527,10.731297999815077,912,0.988065780494209
26,Success,-271.5964583371633,7.8052639876296155,142,0.9870777147137147
27,Success,-605.3031046850818,8.248041738473486,262,0.9870777147137147
28,Success,-1302.3296563417919,1.2395598085269266,550,0.986090636999001
29,Success,-2147.6745791939884,11.723375681330824,821,0.986090636999001
30,Success,-1423.475942351372,11.481199077855273,702,0.9851045463620021
31,Success,-769.2097103365427,4.197800768393012,296,0.9851045463620021
32,Success,-1126.2762115316598,2.575601576930741,568,0.98411944181564
33,Success,-1734.585782439097,15.279627236841238,826,0.98411944181564
34,Success,-875.9959406576728,15.70833441743361,403,0.9831353223738244
35,Success,-692.9223852887144,16.950755368269302,312,0.9831353223738244
36,Success,-2228.7778913887873,16.525860963588855,683,0.9821521870514506
37,Success,-1118.226846634286,16.950755368269302,396,0.9821521870514506
38,Success,-1812.8717301080235,17.000650675464396,819,0.9811700348643991
39,Success,-264.0132940099235,20.09263578448015,419,0.9811700348643991
40,Success,-1557.8248676234707,10.56483697522527,795,0.9801888648295347
41,Success,-2883.014892369,12.561185812780879,1659,0.9801888648295347
42,Success,-2283.4844553496728,26.4782490804579,980,0.9792086759647052
43,Success,-4422.782095128607,7.398288211143548,1302,0.9792086759647052
44,Success,-1808.5918309857955,13.258619156338094,834,0.9782294672887405
45,Success,-1561.5922249686814,32.66179007896002,611,0.9782294672887405
46,Success,-240.91163769639581,8.225799800302443,201,0.9772512378214517
47,Success,-1382.0910916269006,13.258619156338094,480,0.9772512378214517
48,Success,-999.446430555909,8.691852268883236,472,0.9762739865836303
49,Success,-1847.8717069084817,13.646701720138404,758,0.9762739865836303
50,Success,-2143.461457968347,33.39408728081172,768,0.9752977125970467
51,Success,-901.8970378191523,14.157082245893013,323,0.9752977125970467
52,Success,-1001.6502327455948,10.355937581018622,421,0.9743224148844496
53,Success,-723.5204226641519,14.157082245893013,315,0.9743224148844496
54,Success,-1982.0639112785832,43.401006950735955,1098,0.9733480924695651
55,Success,-1293.7516879345415,43.401006950735955,547,0.9733480924695651
56,Success,-664.8221210121201,38.91789028529265,279,0.9723747443770956
57,Success,-1279.8923014149539,43.401006950735955,547,0.9723747443770956
58,Success,-2272.0198463790744,21.22080331541697,807,0.9714023696327185
59,Success,-877.2738770917534,42.62547192130624,533,0.9714023696327185
60,Success,-4359.921159260279,49.56318262374622,1634,0.9704309672630859
61,Success,-1598.728203270955,49.56318262374622,561,0.9704309672630859
62,Success,-416.1729298834942,50.143313287059144,295,0.9694605362958227
63,Success,-458.464271138271,23.36148066700014,320,0.9694605362958227
64,Success,-1353.7005603963496,52.86061640916684,625,0.9684910757595269
65,Success,-3267.6078554083224,32.803618249702986,1398,0.9684910757595269
66,Success,-243.345650084444,30.52279156594958,151,0.9675225846837673
67,Success,-659.988084999189,53.05394796620607,367,0.9675225846837673
68,Success,-709.0612810387946,35.39282837488925,359,0.9665550620990835
69,Success,-1482.5093598717888,60.43456287268202,684,0.9665550620990835
70,Success,-1429.9589363833468,60.43456287268202,598,0.9655885070369844
71,Success,-1113.4921770050441,36.42391222054669,374,0.9655885070369844
72,Success,-2481.0279098257424,39.341136100433744,952,0.9646229185299474
73,Success,-1465.3276480332604,39.78386298299463,699,0.9646229185299474
74,Success,-433.6679153367306,58.58320270555373,217,0.9636582956114175
75,Success,-1964.7822924632358,64.13951113418831,603,0.9636582956114175
76,Success,-510.4005382932953,59.51761312927596,336,0.9626946373158061
77,Success,-1971.6835742887008,41.38305159837499,757,0.9626946373158061
78,Success,-1378.6302960983887,41.38305159837499,585,0.9617319426784903
79,Success,-378.4495791785191,61.330619750803,247,0.9617319426784903
80,Success,-299.3222143972377,64.71100284779612,332,0.9607702107358118
81,Success,-804.2589398403663,41.97945540341351,422,0.9607702107358118
82,Success,-839.520418416301,44.52782416345093,303,0.959809440525076
83,Success,-940.886121863458,66.37641333377341,741,0.959809440525076
84,Success,-1282.7269848528538,68.05603138226707,592,0.9588496310845509
85,Success,-1547.389552176336,68.05603138226707,524,0.9588496310845509
86,Success,-806.0623449077065,46.80773397985104,414,0.9578907814534664
87,Success,-3281.974671500503,68.7799265798397,974,0.9578907814534664
88,Success,-736.0304068223791,70.23680278765137,461,0.9569328906720129
89,Success,-420.8144527066707,48.109053748975846,211,0.9569328906720129
90,Success,-820.6679965055395,70.23680278765137,424,0.9559759577813409
91,Success,-952.3749965117349,49.64638001874391,527,0.9559759577813409
92,Success,-2272.151470803113,75.62351038172629,1233,0.9550199818235596
93,Success,-2841.073311259794,53.55451252577712,1023,0.9550199818235596
94,Success,-478.5353057755183,76.4435317378377,217,0.9540649618417361
95,Success,-1411.2977011378841,78.06647620242838,693,0.9540649618417361
96,Success,-1151.0469546450993,53.89602093850344,493,0.9531108968798944
97,Success,-1112.0616565171622,79.23847788533452,680,0.9531108968798944
98,Success,-2267.8694204135177,54.63296336170254,795,0.9521577859830145
99,Success,-931.8292782571094,80.76412983722744,487,0.9521577859830145
100,Success,-1269.4065928989169,61.76481534624136,1150,0.9512056281970315
101,Success,-1687.3904281068908,85.65738820864767,874,0.9512056281970315
102,Success,-168.80422633111377,62.32519458607392,201,0.9502544225688344
103,Success,-865.4720469761758,85.65738820864767,507,0.9502544225688344
104,Success,-1919.7202832464343,85.81292067060512,550,0.9493041681462656
105,Success,-3267.9446003760954,68.51405545071135,1542,0.9493041681462656
106,Success,-536.6152443022398,68.51405545071135,336,0.9483548639781193
107,Success,-1010.4223681121719,92.47178809535335,599,0.9483548639781193
108,Success,-376.8917770358029,74.39962434205093,372,0.9474065091141411
109,Success,-356.3898884625232,97.67305771876494,418,0.9474065091141411
110,Success,-564.418060679212,75.275263553131,433,0.946459102605027
111,Success,-606.640163705671,77.86101439413223,370,0.946459102605027
112,Success,-1106.6383737744488,93.44942335240505,673,0.9455126435024219
113,Success,-1246.4900836073443,101.90907007835163,544,0.9455126435024219
114,Success,-1325.8275577646823,93.44942335240505,558,0.9445671308589195
115,Success,-1382.303215461937,78.3803992032166,460,0.9445671308589195
116,Success,-1306.1686007234568,107.13032334048894,1021,0.9436225637280606
117,Success,-245.94647920865947,86.54458156486491,221,0.9436225637280606
118,Success,-882.5663027252853,88.84457368522584,499,0.9426789411643326
119,Success,-792.5448055063133,83.14218839942406,322,0.9426789411643326
120,Success,-633.0209429198393,103.37021371559953,337,0.9417362622231683
121,Success,-810.617714012956,92.58367296228306,629,0.9417362622231683
122,Success,-776.5868796548937,95.44300501348793,519,0.9407945259609451
123,Success,-1282.2883270665338,117.20334039455041,575,0.9407945259609451
124,Success,-2108.0908548513034,96.69143826986512,843,0.9398537314349842
125,Success,-656.6612738054969,89.28751731584867,528,0.9398537314349842
126,Success,-925.1752154915403,106.23314588296485,563,0.9389138777035492
127,Success,-2035.4961844113081,103.66334660474094,1231,0.9389138777035492
