Episode,Result,Total Reward,q_values,epsilon,max_step
1,Success,599.1961545507345,-1.986636070789505,0.995,19999
2,Success,-1262.075373323337,5.908293933335086,0.990025,19999
3,Success,2793.2459023652887,25.379855573827978,0.985074875,19999
4,Success,3298.559149968899,11.262856612961766,0.9801495006250001,19999
5,Success,11698.060003535233,22.49671051369046,0.9752487531218751,19999
6,Success,7674.470263101177,130.10430325373756,0.9703725093562657,19999
7,Success,15781.051379181361,180.2601669218006,0.9655206468094844,19999
8,Success,17148.379716286334,78.87565909481567,0.960693043575437,19999
9,Success,17020.674992737546,60.33268801368709,0.9558895783575597,19999
10,Success,24231.904812191497,140.48172955762448,0.9511101304657719,19999
11,Success,25622.80508757099,324.70753256173174,0.946354579813443,19999
12,Success,30639.286848929136,249.61284720900926,0.9416228069143757,19999
13,Success,34529.99762644231,440.209513500833,0.9369146928798039,19999
14,Success,35404.98230368824,538.6268795761466,0.9322301194154049,19999
15,Success,35172.86887165871,375.07327215153316,0.9275689688183278,19999
16,Success,44600.23161174199,139.2468286053034,0.9229311239742362,19999
17,Success,46178.55128140548,118.8332948279773,0.918316468354365,19999
18,Success,49186.9239785988,611.9484859284938,0.9137248860125932,19999
19,Success,51475.886715392066,576.7031819388463,0.9091562615825302,19999
20,Success,54609.40574426075,682.0411391531087,0.9046104802746175,19999
21,Success,59904.77107347587,877.7256004219254,0.9000874278732445,19999
22,Success,64684.98249350293,526.9006505718819,0.8955869907338783,19999
23,Success,69883.32393805521,1071.149527324834,0.8911090557802088,19999
24,Success,67553.8185496029,953.2559203155602,0.8866535105013078,19999
25,Success,76570.85396517301,546.6986067339831,0.8822202429488013,19999
26,Success,75982.30038189377,723.6444199655418,0.8778091417340573,19999
27,Success,96634.60950148317,716.4662736751409,0.8734200960253871,19999
28,Success,89475.66044527643,1165.2292937783945,0.8690529955452602,19999
29,Success,89488.7839696762,376.91485206856214,0.8647077305675338,19999
30,Success,95574.36759168928,1058.4434492253258,0.8603841919146962,19999
31,Success,96554.25905607661,1244.599486639865,0.8560822709551227,19999
32,Success,106773.22366267526,1678.394437499062,0.851801859600347,19999
33,Success,87414.58799489864,1373.8976720556725,0.8475428503023453,19999
34,Success,103363.15623934669,1811.060426014366,0.8433051360508336,19999
35,Success,118609.88052140537,1868.3873111050132,0.8390886103705794,19999
36,Success,101274.76471766803,2065.4429785914353,0.8348931673187264,19999
37,Success,105897.44933086401,2066.4406609326816,0.8307187014821328,19999
38,Success,119996.57215663462,1823.5040261322092,0.8265651079747222,19999
39,Success,123561.82640472648,2039.4316036266425,0.8224322824348486,19999
40,Success,130396.39263243342,2184.7845202549083,0.8183201210226743,19999
41,Success,139654.24840688496,2433.91112648928,0.8142285204175609,19999
42,Success,141074.99733902334,2449.032531633677,0.810157377815473,19999
43,Success,146230.6777191236,2276.9886329085493,0.8061065909263957,19999
44,Success,122617.9512693179,2653.0581889872205,0.8020760579717637,19999
45,Success,132291.8190890261,2657.3623181790213,0.798065677681905,19999
46,Success,133508.13718505536,2685.952290391805,0.7940753492934954,19999
47,Success,149402.97264533845,2836.301457312209,0.7901049725470279,19999
48,Success,159788.31035095267,2657.5441503292204,0.7861544476842928,19999
49,Success,145326.62403924824,2947.2276954986073,0.7822236754458713,19999
50,Success,154236.7304895816,2877.8387045738177,0.778312557068642,19999
51,Success,150145.0934298215,2786.5994493388853,0.7744209942832988,19999
52,Success,145225.23979636922,2744.708415669014,0.7705488893118823,19999
53,Success,174448.27239057748,2918.359936678972,0.7666961448653229,19999
54,Success,160790.63297150505,2964.7759367112203,0.7628626641409962,19999
55,Success,159055.03170565944,3152.947255052906,0.7590483508202912,19999
56,Success,185460.51210839482,3188.0335340060474,0.7552531090661897,19999
57,Success,141663.9952943267,3238.504544643681,0.7514768435208588,19999
58,Success,179784.21334611124,3231.6407375374424,0.7477194593032545,19999
59,Success,185363.52495713552,3164.6509135912565,0.7439808620067382,19999
60,Success,140651.15259533073,3291.734886521017,0.7402609576967045,19999
61,Success,151648.70956009897,3233.4082594264464,0.736559652908221,19999
62,Success,161379.4974612126,3193.1673568216256,0.7328768546436799,19999
63,Success,107963.80128684801,3243.9972057734753,0.7292124703704616,19999
