Episode,Result,Total Reward,q_values,steps
1,Success,-835,0.0009709704469080001,{1000}
1,Success,-1095,0.0,{142}
1,Success,-995,0.0,{12}
1,Success,-1080,0.36984245837229907,{102}
1,Success,-980,0.003242566758243781,{2}
1,Success,-1065,0.36984245837229907,{137}
1,Success,-885,0.9080773431642097,{26}
1,Success,-785,0.7027006709073682,{6}
1,Success,-675,0.003242566758243781,{6}
1,Success,-575,7.8423009170295135,{2}
1,Success,-465,1.430614354952236,{13}
1,Success,-365,1.430614354952236,{2}
1,Success,-295,3.072780686766863,{44}
1,Success,-615,0.003242566758243781,{216}
1,Success,-515,4.921843915777811,{4}
1,Success,-415,4.921843915777811,{8}
1,Success,-315,0.003242566758243781,{2}
1,Success,-215,20.816153647372538,{8}
1,Success,-95,7.26909063027114,{33}
1,Success,25,0.003242566758243781,{10}
1,Success,125,20.816153647372538,{2}
1,Success,225,9.007467425879874,{2}
1,Success,325,9.007467425879874,{2}
1,Success,425,10.291688684605925,{8}
1,Success,180,11.821391506418871,{286}
1,Success,285,11.821391506418871,{34}
1,Success,385,11.821391506418871,{2}
1,Success,485,11.821391506418871,{2}
1,Success,615,0.003242566758243781,{13}
1,Success,775,11.821391506418871,{19}
1,Success,1010,11.821391506418871,{175}
1,Success,1235,11.821391506418871,{179}
1,Success,1335,20.839286886413458,{10}
1,Success,1300,48.663086136749456,{175}
1,Success,1400,15.449403003817553,{18}
1,Success,1540,15.449403003817553,{140}
1,Success,1640,48.663086136749456,{2}
1,Success,1740,18.714613351476366,{4}
1,Success,1840,18.714613351476366,{4}
1,Success,1990,48.663086136749456,{14}
1,Success,2090,24.279739881042484,{4}
1,Success,2190,22.639234506791524,{2}
1,Success,2290,22.639234506791524,{18}
1,Success,2390,26.632767017597406,{32}
1,Success,2500,22.639234506791524,{12}
1,Success,2600,24.279739881042484,{6}
1,Success,2755,27.058732204755167,{50}
1,Success,2855,75.53206473301319,{2}
1,Success,2865,26.632767017597406,{22}
1,Success,2965,24.279739881042484,{2}
