Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,475,0.0,168,0.99982
2,Success,535,0.0,699,0.9996400360000001
3,Success,1703,0.0,803,0.9994601079928
4,Success,62,0.0,414,0.9992802159712015
5,Success,1445,0.0,646,0.9991003599280073
6,Success,1528,0.0,341,0.9989205398560217
7,Success,970,0.0,385,0.9987407557480504
8,Success,1034,0.0,410,0.9985610075969008
9,Success,1642,0.0,770,0.9983812953953815
10,Success,1209,0.0,410,0.9982016191363023
11,Success,574,0.0,273,0.9980219788124751
12,Success,1248,0.0,761,0.9978423744167126
13,Success,768,0.0,510,0.9976628059418293
14,Success,251,0.0,930,0.9974832733806409
15,Success,878,0.0,654,0.9973037767259648
16,Success,22,0.0,888,0.9971243159706197
17,Success,-563,0.0,593,0.9969448911074256
18,Success,1521,0.0,1387,0.9967655021292041
19,Success,739,0.0,181,0.9965861490287783
20,Success,737,0.0,1366,0.9964068317989725
21,Success,251,0.0,339,0.9962275504326127
22,Success,2429,0.0,476,0.9960483049225262
23,Success,640,0.0,780,0.9958690952615417
24,Success,2066,0.0,1332,0.9956899214424894
25,Success,80,0.0,791,0.9955107834582009
26,Success,-4,0.0,522,0.9953316813015093
27,Success,1843,0.0,547,0.995152614965249
28,Success,1701,0.0,519,0.9949735844422559
29,Success,672,0.0,846,0.9947945897253675
30,Success,-629,0.0,1019,0.9946156308074224
31,Success,1509,0.0,390,0.9944367076812609
32,Success,315,0.0,405,0.9942578203397247
33,Success,467,0.0,315,0.9940789687756567
34,Success,706,0.0,460,0.9939001529819016
35,Success,956,0.0,915,0.9937213729513052
36,Success,566,0.0,192,0.993542628676715
37,Success,820,0.0,451,0.9933639201509796
38,Success,446,0.0,409,0.9931852473669495
39,Success,946,0.0,407,0.9930066103174761
40,Success,941,0.0,241,0.9928280089954126
41,Success,2652,0.0,1436,0.9926494433936135
42,Success,209,0.0,316,0.9924709135049348
43,Success,259,0.0,250,0.9922924193222338
44,Success,2208,0.0,759,0.9921139608383693
45,Success,167,0.0,243,0.9919355380462017
