Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-140,0.0,251,0.995
2,Success,-930,0.0,407,0.990025
3,Success,50,0.0,182,0.985074875
4,Success,-1290,0.0,701,0.9801495006250001
5,Success,-835,0.0,625,0.9752487531218751
6,Success,-385,0.0,259,0.9703725093562657
7,Success,-450,0.0,838,0.9655206468094844
8,Success,40,0.0,493,0.960693043575437
9,Success,-75,0.0,376,0.9558895783575597
10,Success,-445,0.0,649,0.9511101304657719
11,Success,215,0.0,344,0.946354579813443
12,Success,-1885,0.0,881,0.9416228069143757
13,Success,-645,0.0,441,0.9369146928798039
14,Success,-225,0.0,392,0.9322301194154049
15,Success,-475,0.0,411,0.9275689688183278
16,Success,310,0.0,583,0.9229311239742362
17,Success,105,0.0,683,0.918316468354365
18,Success,-600,0.0,641,0.9137248860125932
19,Success,325,0.0,952,0.9091562615825302
20,Success,5,0.0,1104,0.9046104802746175
21,Success,-525,0.0,588,0.9000874278732445
22,Success,-160,0.0,486,0.8955869907338783
23,Success,70,0.0,1619,0.8911090557802088
24,Success,-155,0.0,585,0.8866535105013078
25,Success,-220,0.0,1446,0.8822202429488013
26,Success,75,0.0,768,0.8778091417340573
27,Success,520,0.0,913,0.8734200960253871
28,Success,-100,0.0,1136,0.8690529955452602
29,Success,80,0.0,378,0.8647077305675338
30,Success,410,0.0,249,0.8603841919146962
31,Success,850,0.0,849,0.8560822709551227
32,Success,560,0.0,1126,0.851801859600347
33,Success,240,0.0,751,0.8475428503023453
34,Success,1935,0.0,1037,0.8433051360508336
35,Success,1630,0.0,1855,0.8390886103705794
36,Success,1025,0.0,1688,0.8348931673187264
37,Success,785,0.0,883,0.8307187014821328
38,Success,1155,0.0,675,0.8265651079747222
39,Success,365,0.0,500,0.8224322824348486
40,Success,2790,0.0,1449,0.8183201210226743
41,Success,610,0.0,500,0.8142285204175609
42,Success,355,0.0,752,0.810157377815473
43,Success,3980,0.0,1892,0.8061065909263957
44,Success,9890,0.0,5631,0.8020760579717637
45,Success,9300,0.0,3757,0.798065677681905
46,Success,4310,0.0,1701,0.7940753492934954
47,Success,9905,0.0,3156,0.7901049725470279
48,Fail,26375,1997.5622576745825,10000,0.7861544476842928
49,Success,16680,0.0,5796,0.7822236754458713
50,Success,3050,0.0,1321,0.778312557068642
51,Success,11105,0.0,4408,0.7744209942832988
52,Success,5710,0.0,2351,0.7705488893118823
53,Success,8300,0.0,3135,0.7666961448653229
54,Fail,27850,1940.7940199972545,10000,0.7628626641409962
55,Fail,30720,1921.3860797999873,10000,0.7590483508202912
56,Success,5040,0.0,1866,0.7552531090661897
57,Success,8500,0.0,2562,0.7514768435208588
58,Success,7405,0.0,2163,0.7477194593032545
59,Success,19265,0.0,5463,0.7439808620067382
60,Success,15955,0.0,4544,0.7402609576967045
61,Success,3460,0.0,945,0.736559652908221
62,Success,3215,0.0,942,0.7328768546436799
63,Fail,38505,1828.1586620745843,10000,0.7292124703704616
64,Fail,43820,1960.199999999987,10000,0.7255664080186093
65,Success,18100,0.0,4808,0.7219385759785162
66,Success,7620,0.0,1972,0.7183288830986236
67,Fail,42730,1960.199999999987,10000,0.7147372386831305
68,Success,27450,0.0,6528,0.7111635524897149
69,Success,37685,0.0,9089,0.7076077347272662
70,Success,33755,0.0,7584,0.7040696960536299
71,Success,26835,0.0,5489,0.7005493475733617
72,Fail,46945,1921.3860797999873,10000,0.697046600835495
73,Fail,50540,1979.999999999987,10000,0.6935613678313175
74,Fail,52565,1979.999999999987,10000,0.6900935609921609
75,Fail,48220,1912.1722190019875,10000,0.6866430931872001
76,Fail,50135,1940.7940199999873,10000,0.6832098777212641
77,Fail,50895,1999.9999999999447,10000,0.6797938283326578
78,Fail,53065,1979.999999999987,10000,0.6763948591909945
79,Fail,56505,1980.199999999987,10000,0.6730128848950395
80,Fail,55275,1940.7940199999873,10000,0.6696478204705644
81,Success,9695,0.0,1853,0.6662995813682115
82,Fail,57185,1999.999999999987,10000,0.6629680834613705
83,Success,51385,0.0,9099,0.6596532430440636
84,Fail,59915,1999.999999999987,10000,0.6563549768288433
85,Fail,63350,1979.999999999987,10000,0.653073201944699
86,Success,26925,0.0,4730,0.6498078359349755
87,Fail,60160,1999.999999999987,10000,0.6465587967553006
88,Fail,61610,1960.3979999999872,10000,0.6433260027715241
89,Success,19095,0.0,2998,0.6401093727576664
90,Fail,66395,1855.3787919254094,10000,0.6369088258938781
91,Fail,61620,1921.3860797999873,10000,0.6337242817644086
92,Fail,63580,1979.999999999987,10000,0.6305556603555866
93,Fail,66730,1979.999999999987,10000,0.6274028820538087
94,Fail,68300,1999.999999999987,10000,0.6242658676435396
95,Fail,65285,1979.999999999987,10000,0.6211445383053219
96,Fail,68185,1960.3979999999872,10000,0.6180388156137953
97,Success,63435,0.0,9361,0.6149486215357263
98,Fail,69225,1999.999999999987,10000,0.6118738784280476
99,Fail,70865,1902.9504968119677,10000,0.6088145090359074
100,Fail,72280,1921.3860797999873,10000,0.6057704364907278
101,Fail,74620,1915.8479999999872,10000,0.6027415843082742
102,Fail,78610,1999.999999999987,10000,0.5997278763867329
103,Fail,72225,1980.199999999987,10000,0.5967292370047992
104,Success,62450,0.0,8231,0.5937455908197752
105,Fail,76490,1980.199999999987,10000,0.5907768628656763
106,Fail,78505,1915.5979999999872,10000,0.5878229785513479
107,Fail,77460,1935.199999999987,10000,0.5848838636585911
108,Fail,82655,1960.3979999999872,10000,0.5819594443402982
109,Fail,79735,1960.199999999987,10000,0.5790496471185967
110,Fail,78330,1999.999999999987,10000,0.5761543988830038
111,Success,23695,0.0,2885,0.5732736268885887
112,Fail,83580,1960.3979999999872,10000,0.5704072587541458
113,Fail,81935,1960.3979999999872,10000,0.567555222460375
114,Fail,84500,1980.199999999987,10000,0.5647174463480732
115,Fail,85045,1935.199999999987,10000,0.5618938591163328
116,Fail,81280,1999.999999999987,10000,0.5590843898207511
117,Fail,87255,1960.199999999987,10000,0.5562889678716474
118,Fail,86720,1940.5979999999872,10000,0.5535075230322891
119,Fail,91295,1999.999999999987,10000,0.5507399854171277
120,Fail,88720,1999.999999999987,10000,0.547986285490042
121,Fail,88190,1999.999999999987,10000,0.5452463540625918
122,Fail,89080,1999.999999999987,10000,0.5425201222922789
123,Fail,90630,1935.199999999987,10000,0.5398075216808175
124,Fail,89690,1979.999999999987,10000,0.5371084840724134
125,Success,55265,0.0,6006,0.5344229416520513
126,Fail,90750,1935.199999999987,10000,0.531750826943791
127,Fail,90695,1999.999999999987,10000,0.5290920728090721
