Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,175,0.0,60,0.999
2,Success,115,0.0,114,0.998001
3,Success,640,0.0,512,0.997002999
4,Success,-110,0.0,170,0.996005996001
5,Success,510,0.0,237,0.995009990004999
6,Success,-550,0.0,568,0.994014980014994
7,Success,235,0.0,443,0.993020965034979
8,Success,-810,0.0,391,0.9920279440699441
9,Success,-135,0.0,111,0.9910359161258742
10,Success,245,0.0,241,0.9900448802097482
11,Success,465,0.0,563,0.9890548353295385
12,Success,-65,0.0,42,0.988065780494209
13,Success,255,0.0,292,0.9870777147137147
14,Success,-75,0.0,376,0.986090636999001
15,Success,200,0.0,40,0.9851045463620021
16,Success,-130,0.0,388,0.98411944181564
17,Success,-615,0.0,243,0.9831353223738244
18,Success,-180,3.84238404e-09,212,0.9821521870514506
19,Success,330,0.0,143,0.9811700348643991
20,Success,685,0.0,356,0.9801888648295347
21,Success,-40,3.84238404e-09,160,0.9792086759647052
22,Success,355,0.0006163646269821742,147,0.9782294672887405
23,Success,-145,7.801596e-05,145,0.9772512378214517
24,Success,1075,3.84238404e-09,484,0.9762739865836303
25,Success,-185,7.801596e-05,135,0.9752977125970467
26,Success,480,0.0,206,0.9743224148844496
27,Success,535,3.84238404e-09,110,0.9733480924695651
28,Success,305,3.84238404e-09,146,0.9723747443770956
29,Success,110,0.0006163646269821742,24,0.9714023696327185
30,Success,815,3.84238404e-09,334,0.9704309672630859
31,Success,-85,0.0,71,0.9694605362958227
32,Success,250,0.0006163646269821742,142,0.9684910757595269
33,Success,440,0.0006163646269821742,59,0.9675225846837673
34,Success,-315,7.801596e-05,340,0.9665550620990835
35,Success,-245,3.84238404e-09,178,0.9655885070369844
36,Success,235,0.0006163646269821742,64,0.9646229185299474
37,Success,165,7.801596e-05,265,0.9636582956114175
38,Success,435,0.0006163646269821742,169,0.9626946373158061
39,Success,230,3.84238404e-09,302,0.9617319426784903
40,Success,40,3.84238404e-09,98,0.9607702107358118
41,Success,945,0.0,628,0.959809440525076
42,Success,285,0.0006163646269821742,126,0.9588496310845509
43,Success,250,3.84238404e-09,171,0.9578907814534664
44,Success,35,0.0006163646269821742,166,0.9569328906720129
45,Success,530,0.0006163646269821742,286,0.9559759577813409
46,Success,-170,3.84238404e-09,84,0.9550199818235596
47,Success,30,0.0006163646269821742,162,0.9540649618417361
48,Success,175,7.801596e-05,241,0.9531108968798944
49,Success,705,0.0006163646269821742,210,0.9521577859830145
50,Success,-15,3.84238404e-09,116,0.9512056281970315
51,Success,375,7.801596e-05,284,0.9502544225688344
52,Success,-820,0.0006163646269821742,723,0.9493041681462656
53,Success,695,0.0006163646269821742,179,0.9483548639781193
54,Success,250,1.14503044392e-08,139,0.9474065091141411
55,Success,645,7.607920399199999e-11,183,0.946459102605027
56,Success,125,7.607920399199999e-11,220,0.9455126435024219
57,Success,190,4.523470247532191e-08,433,0.9445671308589195
58,Success,235,4.523470247532191e-08,47,0.9436225637280606
59,Success,505,0.0006163646269821742,48,0.9426789411643326
60,Success,-310,0.0006163646269821742,189,0.9417362622231683
61,Success,-35,4.523470247532191e-08,385,0.9407945259609451
62,Success,510,0.0006163646269821742,196,0.9398537314349842
63,Success,1465,0.0006163646269821742,752,0.9389138777035492
64,Success,-45,4.523470247532191e-08,166,0.9379749638258457
65,Success,475,4.523470247532191e-08,155,0.9370369888620198
66,Success,200,4.523470247532191e-08,121,0.9360999518731578
67,Success,1440,3.0500573106069243e-07,294,0.9351638519212846
68,Success,600,3.0500573106069243e-07,98,0.9342286880693633
69,Success,100,0.0033276009787630914,143,0.933294459381294
70,Success,220,0.0033276009787630914,37,0.9323611649219127
71,Success,275,0.0022165178363083063,143,0.9314288037569908
72,Success,495,3.0500573106069243e-07,301,0.9304973749532338
73,Success,75,0.0065093560263994885,336,0.9295668775782806
74,Success,0,1.2194911019006494e-06,187,0.9286373107007023
75,Success,75,0.01010758551518217,86,0.9277086733900016
76,Success,90,0.0022165178363083063,158,0.9267809647166116
