Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,127.29999999999998,0.0,30,0.999
2,Success,-892.0000000000015,-8.0,144,0.998001
3,Success,-89.59999999999962,-8.0,111,0.997002999
4,Success,216.10000000000008,-8.0,48,0.996005996001
5,Success,-1128.699999999998,0.0,220,0.995009990004999
6,Success,-1333.6999999999925,0.0,274,0.994014980014994
7,Success,-893.5000000000025,-8.0,166,0.993020965034979
8,Success,-847.5000000000008,0.0,323,0.9920279440699441
9,Success,-2929.7999999999765,0.0,582,0.9910359161258742
10,Success,-564.100000000002,-15.1996463397458,167,0.9900448802097482
11,Success,-1329.8999999999883,-15.19932804551702,459,0.9890548353295385
12,Success,-2149.999999999988,-15.1996463397458,361,0.988065780494209
13,Success,-17.30000000000092,-15.19932804551702,88,0.9870777147137147
14,Success,318.3,-15.19932804551702,24,0.986090636999001
15,Success,252.9000000000002,-15.19932804551702,87,0.9851045463620021
16,Success,-661.0000000000006,-15.1996463397458,139,0.98411944181564
17,Success,106.80000000000005,-15.1996463397458,38,0.9831353223738244
18,Success,-780.4000000000037,-15.1996463397458,243,0.9821521870514506
19,Success,-36.60000000000008,-15.19932804551702,80,0.9811700348643991
20,Success,-247.60000000000082,-15.1996463397458,207,0.9801888648295347
21,Success,-1335.299999999996,-15.1996463397458,290,0.9792086759647052
22,Success,107.40000000000002,-15.19932804551702,32,0.9782294672887405
23,Success,-174.4000000000001,-15.19932804551702,53,0.9772512378214517
24,Success,188.69999999999973,-15.19932804551702,125,0.9762739865836303
25,Success,105.1,-15.19932804551702,55,0.9752977125970467
26,Success,31.400000000001086,-15.1996463397458,319,0.9743224148844496
27,Success,-690.3000000000015,-15.19932804551702,226,0.9733480924695651
28,Success,-1317.1000000000035,-15.1996463397458,462,0.9723747443770956
29,Success,-1607.6999999999905,-15.1996463397458,322,0.9714023696327185
30,Success,-997.0999999999995,-15.1996463397458,197,0.9704309672630859
31,Success,-1604.3999999999883,-15.1996463397458,396,0.9694605362958227
32,Success,-308.5000000000006,-15.19932804551702,107,0.9684910757595269
33,Success,-316.40000000000043,-15.19932804551702,81,0.9675225846837673
34,Success,-312.300000000001,-15.19932804551702,145,0.9665550620990835
35,Success,-25.69999999999976,-15.19932804551702,63,0.9655885070369844
36,Success,-101.49999999999952,-15.19932804551702,125,0.9646229185299474
37,Success,735.0999999999998,-15.1996463397458,58,0.9636582956114175
38,Success,-781.8000000000056,-15.1996463397458,362,0.9626946373158061
39,Success,-549.1000000000015,-15.1996463397458,110,0.9617319426784903
40,Success,136.60000000000008,-15.1996463397458,42,0.9607702107358118
41,Success,74.60000000000001,-15.19932804551702,58,0.959809440525076
