Episode,Result,Total Reward,q_values,steps,epsilon
1,Success,-3157.462300047528,0.0,447,0.999
2,Success,-541.4520531309794,0.0,217,0.998001
3,Success,-3789.0920585259555,0.0,487,0.997002999
4,Success,-1252.3520540448656,0.0,195,0.996005996001
5,Success,-2341.955463996182,0.0,313,0.995009990004999
6,Success,-890.7884104591847,0.0,150,0.994014980014994
7,Success,-17.939354332309392,0.0,47,0.993020965034979
8,Success,-1058.2999479633297,0.0,142,0.9920279440699441
9,Success,71.16823415777603,0.0,29,0.9910359161258742
10,Success,-942.3771353567831,0.0,180,0.9900448802097482
11,Success,-497.8659289317229,0.0,96,0.9890548353295385
12,Success,64.7775534969488,0.0,39,0.988065780494209
13,Success,-238.34563393233032,0.0,76,0.9870777147137147
14,Success,-499.7794145066523,0.0,85,0.986090636999001
15,Success,-1043.0112849637596,0.0,142,0.9851045463620021
16,Success,-75.29812803018916,0.0,51,0.98411944181564
17,Success,-206.11186867797198,0.0,79,0.9831353223738244
18,Success,-1627.735942227968,0.0,244,0.9821521870514506
19,Success,-911.2203542635622,0.0,221,0.9811700348643991
20,Success,-878.6918830831191,0.0,157,0.9801888648295347
21,Success,-759.6769690214305,0.0,139,0.9792086759647052
22,Success,-758.2790145307405,0.0,142,0.9782294672887405
23,Success,-1014.6077686363012,0.0,137,0.9772512378214517
24,Success,-618.0568196083386,0.0,133,0.9762739865836303
25,Success,-1018.4263237352441,0.0,215,0.9752977125970467
26,Success,-7333.9939408162045,0.0,944,0.9743224148844496
27,Success,-1669.3675425407318,0.0,225,0.9733480924695651
28,Success,-253.0103364410577,0.0,66,0.9723747443770956
29,Success,-188.22938315533554,0.0,47,0.9714023696327185
30,Success,-442.51481853054884,0.0,104,0.9704309672630859
31,Success,-132.33935433230985,0.0,44,0.9694605362958227
32,Success,-274.132247551123,0.0,36,0.9684910757595269
33,Success,-127.29361219895631,0.0,41,0.9675225846837673
34,Success,-128.553162672539,-0.445515,62,0.9665550620990835
35,Success,-190.85883833205366,-0.445515,81,0.9655885070369844
36,Success,-1523.15358632322,-0.15,239,0.9646229185299474
37,Success,-507.54653760025224,-0.445515,89,0.9636582956114175
38,Success,-1794.5475472678977,-0.15,209,0.9626946373158061
39,Success,-2934.8197882885643,-0.15,476,0.9617319426784903
40,Success,-22.256343532414448,-0.445515,49,0.9607702107358118
41,Success,-1094.128561383033,-0.15,173,0.959809440525076
42,Success,-805.0599580860619,-0.445515,134,0.9588496310845509
43,Success,-35.50684267976638,-0.445515,68,0.9578907814534664
44,Success,-519.1090276269068,-0.445515,79,0.9569328906720129
45,Success,-409.83082109738916,-0.445515,67,0.9559759577813409
46,Success,-373.63935433231006,-0.15,71,0.9550199818235596
47,Success,-1665.072996190692,-0.445515,236,0.9540649618417361
48,Success,-628.4694547489408,-0.445515,165,0.9531108968798944
49,Success,-103.56531348930886,-0.445515,38,0.9521577859830145
50,Success,-1903.0803426093348,-0.445515,302,0.9512056281970315
51,Success,-305.8830261298797,-0.15,88,0.9502544225688344
52,Success,-636.9166000682528,-0.445515,185,0.9493041681462656
